Handle,Title,SKU,On Hand
trailblazer-low-slate-8,Trailblazer Low - Slate/8,AUR-1001,40
trailblazer-low-slate-9,Trailblazer Low - Slate/9,AUR-1002,55
ridgeline-mid-moss-9,Ridgeline Mid - Moss/9,AUR-1004,30
summit-gtx-charcoal-9,Summit GTX - Charcoal/9,AUR-1006,15
shell-jacket-storm-blue-m,Shell Jacket - Storm Blue/M,MER-2001,20
insulated-vest-ember-m,Insulated Vest - Ember/M,MER-2003,10
base-layer-tee-graphite-m,Base Layer Tee - Graphite/M,MER-2005,60
daypack-22l-basalt,Daypack 22L - Basalt,CAS-3001,12
hydration-belt-black,Hydration Belt - Black,CAS-3003,5
trekking-poles-pair,Trekking Poles (Pair),CAS-3004,20
legacy-clearance-item,Legacy Clearance Item,NYC-OLD-001,7
